risk,K,n,rep,seed,gamma,alpha,epsilon,low,high,profile,uniform_success,uniform_eta,uniform_regret1,uniform_regret2,uniform_rho1,uniform_rho2,uniform_time_s
cvar,250,20,16,3502139,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0024017087961772376,0.002022369598527085,0.0024017087961772376,0.4931236470047955,0.49238446130908137,0.00915858382359147
cvar,250,20,17,3502140,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0025621391509793034,0.0025621391509793034,0.001720591343471245,0.49483424584540164,0.49509525763330453,0.008725000079721212
cvar,250,20,18,3502141,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0027933878959652825,0.0011796664855387995,0.0027933878959652825,0.4954289345796765,0.4961045153477003,0.009052457753568888
cvar,250,20,19,3502142,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0015838297369539789,0.0015586682780905359,0.0015838297369539789,0.4943338661815375,0.4924056421262888,0.009264125023037195
cvar,250,20,20,3502143,0.5,0.5,0.01,0.0,1.0,uniform,True,0.00227324590473188,0.00227324590473188,0.0015543969760005716,0.49462382221929835,0.4940916296291527,0.009084875229746103
cvar,250,20,21,3502144,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002125693355534697,0.0013953329373231904,0.002125693355534697,0.49535685863009526,0.4935237511463004,0.008843750227242708
cvar,250,20,22,3502145,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018822899218854383,0.0018822899218854383,0.0015058583255475044,0.49394902994092615,0.49533648685014164,0.008982167113572359
cvar,250,20,23,3502146,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002192825983269031,0.0019629594277498774,0.002192825983269031,0.4943079589196646,0.49547604043083465,0.009008500259369612
cvar,250,20,24,3502147,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0012793842178153159,0.0012793842178153159,0.0012675855078637666,0.49421418543485174,0.4942194991388468,0.009428541176021099
cvar,250,20,25,3502148,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0020317693432344575,0.0010816301601364597,0.0020317693432344575,0.49444189260090654,0.49310568658203124,0.00886708265170455
cvar,250,20,26,3502149,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002406307366811411,0.001956603645067667,0.002406307366811411,0.49460158364310347,0.4946266851374245,0.008927250280976295
cvar,250,20,27,3502150,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0029114757991578477,0.0014472142219523199,0.0029114757991578477,0.49550780709124903,0.49399116097590523,0.008493583183735609
cvar,250,20,28,3502151,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0023822876007058014,0.0023822876007058014,0.001469519429309285,0.49475470038040203,0.4952403550805069,0.008947957772761583
cvar,250,20,29,3502152,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019362441183146117,0.0019362441183146117,0.0015566646302632714,0.4954664332778974,0.4936929482921026,0.008886833675205708
cvar,250,20,30,3502153,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019030771214698095,0.0015728356614833627,0.0019030771214698095,0.49462666182001336,0.4924878721890915,0.009020084049552679
cvar,250,20,31,3502154,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002091005690859571,0.0015803564605604281,0.002091005690859571,0.49456634009307165,0.4942739342412254,0.008876250125467777
cvar,250,20,32,3502155,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0020391801973885237,0.0020391801973885237,0.0015336714879911617,0.4943592737834332,0.49348094946512755,0.008606249932199717
cvar,250,20,33,3502156,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018075644112229283,0.0018075644112229283,0.0016708729045413762,0.4929372771885611,0.4948747631224977,0.009147500153630972
cvar,250,20,34,3502157,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019862543132753707,0.0014099600057848605,0.0019862543132753707,0.4953442588385797,0.49568481554323984,0.008596625179052353
cvar,250,20,35,3502158,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0024330610082798354,0.0024330610082798354,0.001980608993956301,0.4937052099508949,0.49405686086368894,0.008659541141241789
cvar,250,20,36,3502159,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0016589865086843458,0.0016330630558274994,0.0016589865086843458,0.4950018682612072,0.49400648123171326,0.00870091700926423
cvar,250,20,37,3502160,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0023379723243858175,0.001731901907956801,0.0023379723243858175,0.4936544013928119,0.49246877469481765,0.008458582684397697
cvar,250,20,38,3502161,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0030647062253216784,0.001426738496391966,0.0030647062253216784,0.49494111344148906,0.4943383614130696,0.008320665918290615
cvar,250,20,39,3502162,0.5,0.5,0.01,0.0,1.0,uniform,True,0.00284937612481867,0.0015175316509113412,0.00284937612481867,0.49389179141039313,0.49423066928220805,0.007891166023910046
cvar,250,20,40,3502163,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001456840763827849,0.001456840763827849,0.001113805209962626,0.4954432727918921,0.4959067705838282,0.008816083893179893
cvar,250,20,41,3502164,0.5,0.5,0.01,0.0,1.0,uniform,True,0.004126046262910299,0.0016083336650810076,0.004126046262910299,0.49592822654593977,0.4937416484846374,0.008072291035205126
cvar,250,20,42,3502165,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002446102513719184,0.002446102513719184,0.0015835834948846883,0.4930147119245679,0.49529345808208847,0.00843149982392788
cvar,250,20,43,3502166,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0025768499001508904,0.0025768499001508904,0.001458943558796999,0.4945660199102241,0.4944165630168518,0.008447249885648489
cvar,250,20,44,3502167,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0032828986205930555,0.0014587969752408725,0.0032828986205930555,0.49248572980388894,0.4954606682601097,0.007869875058531761
cvar,250,20,45,3502168,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018316528714120706,0.0018316528714120706,0.0018094503763824155,0.49514705018900884,0.4938063100790491,0.008587541058659554
cvar,250,20,46,3502169,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002756286147919007,0.002756286147919007,0.0017147434197367084,0.4924521527399166,0.4942324540813273,0.00847066706046462
cvar,250,20,47,3502170,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002121274850750421,0.002121274850750421,0.0009681630035971445,0.49389528274578887,0.4926944771235182,0.008910957723855972
cvar,250,20,48,3502171,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0022384092295876235,0.001922525439282341,0.0022384092295876235,0.4954089519941693,0.49547722056264976,0.00843137502670288
cvar,250,20,49,3502172,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019261906616849234,0.0015019447657845797,0.0019261906616849234,0.49477388779860865,0.4940468587736875,0.00860383315011859
cvar,250,20,50,3502173,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0016398173131157434,0.0016398173131157434,0.0012064786756320611,0.49265150734365215,0.49619204758921276,0.008816000074148178
cvar,250,20,51,3502174,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0020053853715311654,0.0020053853715311654,0.0018261064543043104,0.4926013269745053,0.4943057654170805,0.008655416779220104
cvar,250,20,52,3502175,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0015533501309812348,0.0014583646662250649,0.0015533501309812348,0.4945937394991728,0.49367406825542803,0.008432709146291018
cvar,250,20,53,3502176,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0029804312435500746,0.0029804312435500746,0.0029222519461116203,0.4955888970263431,0.4937793774344933,0.007870708126574755
cvar,250,20,54,3502177,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018026989859941667,0.0012901604067998562,0.0018026989859941667,0.4948432150973831,0.4945374590356442,0.008618332911282778
cvar,250,20,55,3502178,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0015104690816538091,0.000910564068678843,0.0015104690816538091,0.493834051792872,0.4937439154527746,0.009571000002324581
cvar,250,20,56,3502179,0.5,0.5,0.01,0.0,1.0,uniform,True,0.00197627230467734,0.001171084632419439,0.00197627230467734,0.4939945978630814,0.4942402684509699,0.008583749644458294
cvar,250,20,57,3502180,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0017877271708695575,0.0017877271708695575,0.0016927849823051289,0.4929529738645934,0.4965159524834722,0.009024291764944792
cvar,250,20,58,3502181,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002015903238064276,0.0012566121475221514,0.002015903238064276,0.49483481190037604,0.49527834056732495,0.009487624745815992
cvar,250,20,59,3502182,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019076235156479937,0.0008977126844627592,0.0019076235156479937,0.4966193992689694,0.49477800172907527,0.009575875010341406
cvar,250,20,60,3502183,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0017404526868601833,0.0013155932696792272,0.0017404526868601833,0.49270283127073256,0.49526625866287577,0.00948966620489955
cvar,250,20,61,3502184,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002336685885596379,0.002336685885596379,0.0021615256119425497,0.49392148622563076,0.4947450998740487,0.008526625111699104
cvar,250,20,62,3502185,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0019621347570989434,0.0019621347570989434,0.0013577318449713993,0.49398740990248224,0.49422994337911696,0.008918249979615211
cvar,250,20,63,3502186,0.5,0.5,0.01,0.0,1.0,uniform,True,0.002288605132915622,0.002288605132915622,0.001711637975389868,0.49331711179865884,0.4925946474158601,0.008982291910797358
cvar,250,20,64,3502187,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001601459082678447,0.001601459082678447,0.0012801926280761045,0.49374722600375254,0.4948652501553301,0.00889554200693965
cvar,250,20,65,3502188,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0024843037834680337,0.0020066664098018494,0.0024843037834680337,0.49460339035209866,0.493871593315705,0.008471459150314331
cvar,250,20,66,3502189,0.5,0.5,0.01,0.0,1.0,uniform,True,0.001745460797046794,0.0015297656622935696,0.001745460797046794,0.49324802274670576,0.4924395059932954,0.009322124999016523
cvar,250,20,67,3502190,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0018538370709529906,0.0018538370709529906,0.0015132160244229476,0.4940916472059049,0.4945582677131772,0.008788249921053648
cvar,250,20,68,3502191,0.5,0.5,0.01,0.0,1.0,uniform,True,0.0030571459626825837,0.0009663088362226735,0.0030571459626825837,0.49372925180225047,0.4955985765399832,0.00897920923307538
